Time,X,Y,Z,Roll,Pitch,Yaw
566 35 17 14 16 12 2021,-11962.514648,9176.96582,3.569427,0.0,0.0,-5.344225
577 35 17 14 16 12 2021,-11962.514648,9176.96582,3.569427,0.0,0.0,-5.344225
588 35 17 14 16 12 2021,-11962.713867,9176.931641,3.523767,0.0,0.0,-6.106282
599 35 17 14 16 12 2021,-11962.713867,9176.931641,3.523767,0.0,0.0,-6.106282
610 35 17 14 16 12 2021,-11963.045898,9176.966797,3.445214,0.0,0.0,-7.160416
621 35 17 14 16 12 2021,-11963.045898,9176.966797,3.445214,0.0,0.0,-7.160416
633 35 17 14 16 12 2021,-11963.045898,9176.966797,3.445214,0.0,0.0,-7.160416
643 35 17 14 16 12 2021,-11963.045898,9176.966797,3.445214,0.0,0.0,-7.160416
655 35 17 14 16 12 2021,-11963.045898,9176.966797,3.445214,0.0,0.0,-7.160416
666 35 17 14 16 12 2021,-11963.045898,9176.966797,3.445214,0.0,0.0,-7.160416
677 35 17 14 16 12 2021,-11963.045898,9176.966797,3.445214,0.0,0.0,-7.160416
686 35 17 14 16 12 2021,-11963.045898,9176.966797,3.445214,0.0,0.0,-7.160416
697 35 17 14 16 12 2021,-11963.045898,9176.966797,3.445214,0.0,0.0,-7.160416
708 35 17 14 16 12 2021,-11963.045898,9176.966797,3.445214,0.0,0.0,-7.160416
720 35 17 14 16 12 2021,-11965.493164,9177.919922,3.102535,0.0,0.0,-14.506138
